subject,predicate,pred freq,object,root,root freq,synonyms
proline state,be,101,CTD phosphatases,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
proline state,recognized,1,CTD phosphatases,recognize,1,"{'discern', 'realize', 'accredit', 'acknowledge', 'recognise', 'recognize', 'realise', 'distinguish', 'greet', 'know'}"
chemical probes,help,6,molecular mechanism,help,9,"{'avail', 'facilitate', 'help', 'serve', 'aid', 'assist'}"
chemical probes,understand,6,molecular mechanism,understand,8,"{'infer', 'realize', 'understand', 'empathize', 'sympathise', 'empathise', 'translate', 'see', 'realise', 'interpret', 'sympathize'}"
phosphorylation and prolyl,affect,3,conformational status,affect,6,"{'impress', 'strike', 'impact', 'feign', 'sham', 'involve', 'pretend', 'move', 'affect', 'dissemble', 'touch', 'regard'}"
application of such chemical probes,help,6,phosphorylation and prolyl isomerization state,help,9,"{'avail', 'facilitate', 'help', 'serve', 'aid', 'assist'}"
application of such chemical probes,understand,6,phosphorylation and prolyl isomerization state,understand,8,"{'infer', 'realize', 'understand', 'empathize', 'sympathise', 'empathise', 'translate', 'see', 'realise', 'interpret', 'sympathize'}"
phosphorylation and prolyl isomerization state,affect,3,conformational status of CTD,affect,6,"{'impress', 'strike', 'impact', 'feign', 'sham', 'involve', 'pretend', 'move', 'affect', 'dissemble', 'touch', 'regard'}"
interplay between phosphorylation and prolyl isomerization state,affect,3,conformational status of CTD in transcription,affect,6,"{'impress', 'strike', 'impact', 'feign', 'sham', 'involve', 'pretend', 'move', 'affect', 'dissemble', 'touch', 'regard'}"
forensic analysis,be,101,small quantities,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
forensic analysis,extract,5,small quantities,extract,12,"{'elicit', 'evoke', 'extract', 'distill', 'distil', 'educe', 'excerpt', 'express'}"
small quantities,preserving,2,as much material as possible,preserve,2,"{'uphold', 'maintain', 'preserve', 'continue', 'conserve', 'save'}"
forensic analysis of evidences,be,101,small quantities of samples,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
forensic analysis of evidences,extract,5,small quantities of samples,extract,12,"{'elicit', 'evoke', 'extract', 'distill', 'distil', 'educe', 'excerpt', 'express'}"
small quantities of samples,preserving,2,as much material as possible for future tests,preserve,2,"{'uphold', 'maintain', 'preserve', 'continue', 'conserve', 'save'}"
many types of materials,are,282,criminal investigation,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
huge advantages,lie,8,nondestructive technique,lie,39,"{'belong', 'consist', 'lie', 'rest', 'dwell'}"
huge advantages,is,708,nondestructive technique,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
unique characterization,is,708,specific pattern,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
unique characterization,has,89,specific pattern,have,146,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
aim of this work,is,708,versatility of the technique,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
aim of this work,show,32,versatility of the technique,show,94,"{'show', 'testify', 'depict', 'demo', 'indicate', 'picture', 'display', 'evince', 'shew', 'render', 'express', 'present', 'evidence', 'prove', 'point', 'exhibit', 'reveal', 'establish', 'demonstrate'}"
advances in technology,encourage,1,science students,encourage,1,"{'further', 'boost', 'promote', 'advance', 'encourage'}"
science students,contribute,3,quality and variety,contribute,5,"{'lead', 'add', 'bestow', 'bring', 'conduce', 'lend', 'contribute', 'impart'}"
science students,increasing,1,quality and variety,increase,7,{'increase'}
Wikipedia scoliosis,is,708,medical condition,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
spine of an individual,is,708,straight line,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
spine of an individual,resemble,1,straight line,resemble,1,{'resemble'}
phosphate groups,be rotated,1,ZI type,rotate,8,"{'splay', 'rotate', 'revolve'}"
crystal structures,are,282,backbone types,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
metal cations and polyamines in the crystal structures,was,146,ZI and ZII conformations,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
metal cations and polyamines in the crystal structures,realized,2,ZI and ZII conformations,realize,2,"{'actualize', 'substantiate', 'realize', 'understand', 'actualise', 'gain', 'recognise', 'earn', 'see', 'recognize', 'realise'}"
positron beam,using,106,electron accelerator,use,164,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
electron accelerator,provides,10,total reflection,provide,41,"{'provide', 'furnish', 'leave', 'supply', 'ply', 'cater', 'render', 'allow'}"
dedicated linac,is injected,1,Ta converter,inject,1,"{'interject', 'inject', 'interpose'}"
W foils,are moderated,1,energy of 3 eV,moderate,1,"{'moderate', 'chasten', 'curb', 'check', 'soften', 'tame', 'mince', 'chair', 'control', 'hold', 'temper', 'contain'}"
W foils,comes,1,energy of 3 eV,come,1,"{'arrive', 'hail', 'get', 'come'}"
diffraction experiments,have,53,nonmagnetic region,have,146,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
diffraction experiments,be,101,nonmagnetic region,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
present system,allows,23,sample orientation,allow,33,"{'provide', 'let', 'countenance', 'earmark', 'appropriate', 'leave', 'admit', 'permit', 'grant', 'allow', 'reserve'}"
sample orientation,accumulating,1,positron signals,accumulate,1,"{'accumulate', 'compile', 'cumulate', 'gather', 'amass', 'hoard', 'collect', 'conglomerate'}"
The much intensified beam with the present system,allows,23,adjustment of the sample orientation,allow,33,"{'provide', 'let', 'countenance', 'earmark', 'appropriate', 'leave', 'admit', 'permit', 'grant', 'allow', 'reserve'}"
remarkable results,have been,53,users of this facility,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
remarkable results,obtained,22,users of this facility,obtain,41,"{'prevail', 'get', 'incur', 'receive', 'obtain'}"
MX beamlines,is located,10,canted undulators,locate,24,"{'site', 'situate', 'place', 'settle', 'locate'}"
Macromolecular Crystallography beamline,be optimized,1,high throughput applications,optimize,4,"{'optimise', 'optimize'}"
Central components,are,282,confusion goniometer,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
collection of crystals,characterize,5,protein crystals,characterize,12,"{'qualify', 'characterize', 'characterise'}"
screening and data collection of crystals,characterize,5,membrane protein crystals,characterize,12,"{'qualify', 'characterize', 'characterise'}"
new beamlines,offer,2,unique opportunities,offer,6,"{'extend', 'tender', 'bid', 'volunteer', 'proffer', 'offer'}"
Neutron diffraction,is,708,preferred technique,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
preferred technique,is,708,cross section,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
scattering properties,used,28,single crystal,use,164,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
largest contributing factor,used,28,powder neutron diffraction,use,164,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
incident neutron,using,106,continuous source,use,164,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
incident neutron wavelength,using,106,monochromatic wavelength measurements,use,164,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
monochromatic powder,be,101,current decade,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
monochromatic powder diffractometer,be,101,end of the current decade,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
hydrogenous materials,using,106,inelastic techniques,use,164,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
centrosymmetric crystal,be expressed,2,specific features,express,6,"{'verbalise', 'convey', 'state', 'show', 'verbalize', 'carry', 'extract', 'utter', 'evince', 'express'}"
centrosymmetric crystal,be,101,specific features,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
specific features,be,101,convergent beam,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
theoretical inversion,be,101,direct observations,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
theoretical inversion,be implemented,1,direct observations,implement,5,"{'enforce', 'implement', 'apply'}"
theoretical inversion,enabling,3,direct observations,enable,4,{'enable'}
direct observations,has,89,approximate measurement,have,146,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
structure factors of a centrosymmetric crystal,be expressed,2,convergent beam electron diffraction,express,6,"{'verbalise', 'convey', 'state', 'show', 'verbalize', 'carry', 'extract', 'utter', 'evince', 'express'}"
structure factors of a centrosymmetric crystal,be,101,convergent beam electron diffraction,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
structure determination,is,708,observation of phases,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
centrosymmetric crystal structures,be determined,4,the need to measure magnitudes,determine,62,"{'watch', 'ascertain', 'find', 'regulate', 'see', 'limit', 'mold', 'decide', 'determine', 'settle', 'fix', 'influence', 'learn', 'shape', 'set', 'specify'}"
relative structure,be determined,4,intensity distributions,determine,62,"{'watch', 'ascertain', 'find', 'regulate', 'see', 'limit', 'mold', 'decide', 'determine', 'settle', 'fix', 'influence', 'learn', 'shape', 'set', 'specify'}"
thermal beamtube,delivers,1,neutrons direct,deliver,1,"{'deport', 'deliver', 'extradite', 'render', 'redeem', 'present', 'save', 'rescue'}"
FALCON benefits,does,19,objects upstream,do,30,"{'make', 'fare', 'answer', 'exercise', 'do', 'perform', 'suffice', 'execute', 'behave', 'act', 'practise', 'cause', 'practice'}"
detector units,be,101,backscattering position,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
detector positions,allow,7,sample environments,allow,33,"{'provide', 'let', 'countenance', 'earmark', 'appropriate', 'leave', 'admit', 'permit', 'grant', 'allow', 'reserve'}"
variable sample table,allow,7,full range of sample environments,allow,33,"{'provide', 'let', 'countenance', 'earmark', 'appropriate', 'leave', 'admit', 'permit', 'grant', 'allow', 'reserve'}"
neutron instrument,has,89,advantages of neutrons,have,146,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
advantages of neutrons,be,101,condensed matter,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
hydrogen atoms within structures and differentiation,be,101,electronically similar elements,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
commissioning phase,using,106,ambient and sample,use,164,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
commissioning tests,submit,3,Laue diffraction,submit,3,"{'submit', 'state', 'posit', 'bow', 'accede', 'render', 'relegate', 'defer', 'present', 'subject', 'undergo'}"
upcoming commissioning tests,submit,3,Laue diffraction experiments,submit,3,"{'submit', 'state', 'posit', 'bow', 'accede', 'render', 'relegate', 'defer', 'present', 'subject', 'undergo'}"
details of the upcoming commissioning tests,submit,3,proposals for Laue diffraction experiments,submit,3,"{'submit', 'state', 'posit', 'bow', 'accede', 'render', 'relegate', 'defer', 'present', 'subject', 'undergo'}"
Stoe furnace,has been,89,signal width,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
Stoe furnace,chosen,2,signal width,choose,2,"{'prefer', 'select', 'opt', 'choose'}"
Stoe furnace,compare,4,signal width,compare,36,"{'liken', 'equate', 'compare'}"
calculation experiments,has been,89,crystalline standard and Naphthalene,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
calculation experiments,taken,5,crystalline standard and Naphthalene,take,21,"{'convey', 'bring', 'guide', 'read', 'assume', 'demand', 'adopt', 'conduct', 'direct', 'occupy', 'lead', 'involve', 'postulate', 'take', 'require', 'necessitate', 'ask', 'need', 'acquire'}"
temperature dependence of this resolution,has been,89,Low temperature data,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
temperature dependence of this resolution,chosen,2,Low temperature data,choose,2,"{'prefer', 'select', 'opt', 'choose'}"
temperature dependence of this resolution,compare,4,Low temperature data,compare,36,"{'liken', 'equate', 'compare'}"
PDF calculation experiments,has been,89,well known organic phase,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
PDF calculation experiments,taken,5,well known organic phase,take,21,"{'convey', 'bring', 'guide', 'read', 'assume', 'demand', 'adopt', 'conduct', 'direct', 'occupy', 'lead', 'involve', 'postulate', 'take', 'require', 'necessitate', 'ask', 'need', 'acquire'}"
interpenetrating layers,were derived,3,lattice complexes,derive,9,"{'descend', 'infer', 'gain', 'deduct', 'educe', 'derive', 'deduce'}"
interpenetrating layers of spheres,were derived,3,orthorhombic bivariant lattice complexes,derive,9,"{'descend', 'infer', 'gain', 'deduct', 'educe', 'derive', 'deduce'}"
All homogeneous sphere packings and all interpenetrating layers of spheres,were derived,3,refer to the 22 orthorhombic bivariant lattice complexes,derive,9,"{'descend', 'infer', 'gain', 'deduct', 'educe', 'derive', 'deduce'}"
Only for 47 of these types,is,708,inherent symmetry,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
SAICAR synthase,are involved,14,de novo,involve,37,"{'imply', 'require', 'demand', 'necessitate', 'involve', 'affect', 'ask', 'need', 'postulate', 'take', 'regard'}"
SAICAR synthase family,are involved,14,de novo purine biosynthesis,involve,37,"{'imply', 'require', 'demand', 'necessitate', 'involve', 'affect', 'ask', 'need', 'postulate', 'take', 'regard'}"
asymmetric unit,contains,54,two copies of the protein,contain,69,"{'moderate', 'curb', 'check', 'bear', 'carry', 'comprise', 'arrest', 'incorporate', 'control', 'stop', 'hold', 'contain'}"
two copies of the protein,are,282,disulfide bond,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
the CuII ion,occupies,5,inversion centre,occupy,12,"{'invade', 'busy', 'occupy', 'interest', 'absorb', 'worry', 'engross', 'engage', 'fill', 'reside', 'concern', 'take', 'inhabit'}"
inversion centre,exhibits,20,octahedral geometry,exhibit,25,"{'exhibit', 'parade', 'show', 'expose', 'display', 'present', 'demo', 'march', 'demonstrate'}"
centrosymmetric title compound,occupies,5,distorted octahedral geometry,occupy,12,"{'invade', 'busy', 'occupy', 'interest', 'absorb', 'worry', 'engross', 'engage', 'fill', 'reside', 'concern', 'take', 'inhabit'}"
centrosymmetric title compound,exhibits,20,distorted octahedral geometry,exhibit,25,"{'exhibit', 'parade', 'show', 'expose', 'display', 'present', 'demo', 'march', 'demonstrate'}"
crystal structure,forms,17,structural polymer,form,86,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
results obtained,were explained,1,surface of the specimen,explain,6,"{'explain', 'explicate', 'excuse'}"
results obtained,assuming,2,surface of the specimen,assume,8,"{'don', 'assume', 'usurp', 'adopt', 'feign', 'sham', 'presume', 'accept', 'simulate', 'bear', 'seize', 'acquire', 'wear', 'arrogate', 'take'}"
results obtained,was,146,surface of the specimen,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
surface of the specimen,deviating,2,edge of the specimen,deviate,4,"{'vary', 'deflect', 'diverge', 'depart', 'divert', 'deviate'}"
axis on the surface of the specimen,deviating,2,parallel to the edge of the specimen,deviate,4,"{'vary', 'deflect', 'diverge', 'depart', 'divert', 'deviate'}"
present paper,is shown,11,small torsion,show,94,"{'show', 'testify', 'depict', 'demo', 'indicate', 'picture', 'display', 'evince', 'shew', 'render', 'express', 'present', 'evidence', 'prove', 'point', 'exhibit', 'reveal', 'establish', 'demonstrate'}"
present paper,be,101,small torsion,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
present paper,explained,3,small torsion,explain,6,"{'explain', 'explicate', 'excuse'}"
present paper,is,708,small torsion,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
present model,is,708,bending and torsion,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
title complex,contains,54,complex molecules,contain,69,"{'moderate', 'curb', 'check', 'bear', 'carry', 'comprise', 'arrest', 'incorporate', 'control', 'stop', 'hold', 'contain'}"
crystal structure of the title complex,contains,54,NiII complex molecules,contain,69,"{'moderate', 'curb', 'check', 'bear', 'carry', 'comprise', 'arrest', 'incorporate', 'control', 'stop', 'hold', 'contain'}"
asymmetric unit of the crystal structure of the title complex,contains,54,two independent NiII complex molecules and six uncoordinated pyridine molecules,contain,69,"{'moderate', 'curb', 'check', 'bear', 'carry', 'comprise', 'arrest', 'incorporate', 'control', 'stop', 'hold', 'contain'}"
NiII atom,is coordinated,44,two O and four N,coordinate,60,"{'organize', 'ordinate', 'organise', 'align', 'coordinate'}"
dianionic ligand,is,708,octahedral geometry,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
N hydrogen bonding,is,708,intermolecular hydrogen bonding,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
sulfate anions,are interconnected,3,mdash H,interconnect,3,"{'interlink', 'complect', 'interconnect'}"
melaminium cations and sulfate anions,are interconnected,3,N mdash H,interconnect,3,"{'interlink', 'complect', 'interconnect'}"
Crystals of the  alpha,have been,53,nonionic detergents,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
Crystals of the  alpha,grown,5,nonionic detergents,grow,12,"{'produce', 'develop', 'raise', 'uprise', 'rise', 'maturate', 'grow', 'turn', 'arise', 'acquire', 'farm', 'mature', 'originate'}"
Crystals of the  alpha,using,106,nonionic detergents,use,164,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
cobalt phosphate,occurs,9,different polymorphs,occur,12,"{'hap', 'occur', 'pass', 'happen'}"
Sodium cobalt phosphate,occurs,9,crystal structures of both polymorphs,occur,12,"{'hap', 'occur', 'pass', 'happen'}"
c  sime  ,is,708,tetrahedral tilts,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
basic tridymite framework,is,708,strong distortions of the CoO4 tetrahedra,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
thiourea unit,is stabilized,27,mdash H,stabilize,46,"{'brace', 'stabilise', 'steady', 'stabilize'}"
trans ndash cis geometry,is stabilized,27,N mdash H,stabilize,46,"{'brace', 'stabilise', 'steady', 'stabilize'}"
trans ndash cis geometry of the thiourea unit,is stabilized,27,intramolecular N mdash H,stabilize,46,"{'brace', 'stabilise', 'steady', 'stabilize'}"
S hydrogen,form,27,centrosymmetric dimers,form,86,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
centrosymmetric dimers,extending,2,b axis,extend,4,"{'extend', 'exsert', 'lead', 'stretch', 'go', 'expand', 'pass', 'broaden', 'widen', 'offer', 'run', 'cover'}"
site symmetry,is,708,octahedral geometry,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
minus  fragments,are,282,trans positions,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
pyridine ring,connect,10,supramolecular structure,connect,34,"{'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
exact density,is introduced,3,sign relationship,introduce,6,"{'infix', 'introduce', 'premise', 'insert', 'acquaint', 'preface', 'innovate', 'precede', 'inclose', 'enclose', 'enter', 'present'}"
exact density,is applied,5,sign relationship,apply,19,"{'utilize', 'use', 'employ', 'implement', 'apply', 'enforce', 'utilise', 'practice'}"
exact density functions,is introduced,3,simplest sign relationship,introduce,6,"{'infix', 'introduce', 'premise', 'insert', 'acquaint', 'preface', 'innovate', 'precede', 'inclose', 'enclose', 'enter', 'present'}"
exact density functions,is applied,5,simplest sign relationship,apply,19,"{'utilize', 'use', 'employ', 'implement', 'apply', 'enforce', 'utilise', 'practice'}"
multivariate exact density functions,is introduced,3,study of the simplest sign relationship,introduce,6,"{'infix', 'introduce', 'premise', 'insert', 'acquaint', 'preface', 'innovate', 'precede', 'inclose', 'enclose', 'enter', 'present'}"
multivariate exact density functions,is applied,5,study of the simplest sign relationship,apply,19,"{'utilize', 'use', 'employ', 'implement', 'apply', 'enforce', 'utilise', 'practice'}"
exact expression,is obtained,2,normalized structure,obtain,41,"{'prevail', 'get', 'incur', 'receive', 'obtain'}"
exact expression,is,708,normalized structure,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
numerical examination,is,708,new expression,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
normalized structure factor,is,708,extensive numerical examination,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
normalized structure factor,given,3,extensive numerical examination,give,48,"{'pay', 'have', 'afford', 'yield', 'hold', 'throw', 'gift', 'present', 'give'}"
extensive numerical examination,is,708,conventional asymptotic formula,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
asymmetric unit,is,708,number of atoms,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
number of atoms,is,708,paucity of atoms,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
exact and asymptotic results,being,15,atomic composition of the asymmetric unit,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
qualitative behaviour,is,708,known features,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
new exact expression,is,708,Sigma 1 relationship and its statistical interpretations,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
qualitative behaviour of the new exact expression,is,708,known features of the  Sigma 1 relationship and its statistical interpretations,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
crystal lattices,differ,2,specific way,differ,2,"{'disagree', 'dissent', 'differ'}"
hemihedral twinning,have,53,sufficient information,have,146,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
hemihedral twinning,do,8,sufficient information,do,30,"{'make', 'fare', 'answer', 'exercise', 'do', 'perform', 'suffice', 'execute', 'behave', 'act', 'practise', 'cause', 'practice'}"
perfect hemihedral twinning,have,53,same volumes and the observed intensities,have,146,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
perfect hemihedral twinning,do,8,same volumes and the observed intensities,do,30,"{'make', 'fare', 'answer', 'exercise', 'do', 'perform', 'suffice', 'execute', 'behave', 'act', 'practise', 'cause', 'practice'}"
same volumes and the observed intensities,do,8,sufficient information to detwin the data,do,30,"{'make', 'fare', 'answer', 'exercise', 'do', 'perform', 'suffice', 'execute', 'behave', 'act', 'practise', 'cause', 'practice'}"
picric acid,has been,89,N atom,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
picric acid,transferred,2,N atom,transfer,2,"{'transfer', 'remove', 'transmit', 'channel', 'transport', 'transpose', 'reassign', 'channelize', 'shift', 'change', 'transplant'}"
starting picric acid,has been,89,imidazole N atom,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
starting picric acid,transferred,2,imidazole N atom,transfer,2,"{'transfer', 'remove', 'transmit', 'channel', 'transport', 'transpose', 'reassign', 'channelize', 'shift', 'change', 'transplant'}"
nitro groups,are twisted,6,benzene ring,twist,13,"{'flex', 'bend', 'wrench', 'convolute', 'twist', 'twine', 'wrick', 'pervert', 'deform', 'sprain', 'worm', 'writhe', 'wrestle', 'squirm', 'wriggle', 'distort', 'rick', 'sophisticate'}"
benzene ring,making,5,dihedral angles,make,58,"{'produce', 'make', 'do', 'create', 'cause', 'draw', 'stimulate', 'induce'}"
component ions,are linked,42,mdash H,link,88,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
room temperature,has been,89,multiple beam,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
room temperature,verified,3,multiple beam,verify,3,"{'assert', 'affirm', 'swear', 'aver', 'control', 'swan', 'verify', 'avow'}"
room temperature,using,106,multiple beam,use,164,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
silicon between room temperature and 700 K,has been,89,multiple beam diffraction,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
silicon between room temperature and 700 K,verified,3,multiple beam diffraction,verify,3,"{'assert', 'affirm', 'swear', 'aver', 'control', 'swan', 'verify', 'avow'}"
silicon between room temperature and 700 K,using,106,multiple beam diffraction,use,164,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
forbidden reflection 442 in silicon between room temperature and 700 K,has been,89,concept of virtual Bragg scattering,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
forbidden reflection 442 in silicon between room temperature and 700 K,verified,3,concept of virtual Bragg scattering,verify,3,"{'assert', 'affirm', 'swear', 'aver', 'control', 'swan', 'verify', 'avow'}"
forbidden reflection 442 in silicon between room temperature and 700 K,using,106,concept of virtual Bragg scattering,use,164,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
case of germanium,is,708,anharmonic effects,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
similar determination in the case of germanium,is,708,anharmonic effects at room temperature,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
anions and cations,are linked,42,mdash H,link,88,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
in complex with rapamycin,has,89,emsp14  Aring  resolution,have,146,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
in complex with rapamycin,been,6,emsp14  Aring  resolution,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
in complex with rapamycin,determined,33,emsp14  Aring  resolution,determine,62,"{'watch', 'ascertain', 'find', 'regulate', 'see', 'limit', 'mold', 'decide', 'determine', 'settle', 'fix', 'influence', 'learn', 'shape', 'set', 'specify'}"
