subject,predicate,object,root,synonyms
results obtained,was,surface of the specimen,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
surface of the specimen,deviating,edge of the specimen,deviate,"{'vary', 'deflect', 'diverge', 'depart', 'divert', 'deviate'}"
axis on the surface of the specimen,deviating,parallel to the edge of the specimen,deviate,"{'vary', 'deflect', 'diverge', 'depart', 'divert', 'deviate'}"
present paper,is shown,small torsion,show,"{'show', 'testify', 'depict', 'demo', 'indicate', 'picture', 'display', 'evince', 'shew', 'render', 'express', 'present', 'evidence', 'prove', 'point', 'exhibit', 'reveal', 'establish', 'demonstrate'}"
present paper,be,small torsion,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
present paper,explained,small torsion,explain,"{'explain', 'explicate', 'excuse'}"
present paper,is,small torsion,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
present model,is,bending and torsion,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
title complex,contains,complex molecules,contain,"{'moderate', 'curb', 'check', 'bear', 'carry', 'comprise', 'arrest', 'incorporate', 'control', 'stop', 'hold', 'contain'}"
crystal structure of the title complex,contains,NiII complex molecules,contain,"{'moderate', 'curb', 'check', 'bear', 'carry', 'comprise', 'arrest', 'incorporate', 'control', 'stop', 'hold', 'contain'}"
asymmetric unit of the crystal structure of the title complex,contains,two independent NiII complex molecules and six uncoordinated pyridine molecules,contain,"{'moderate', 'curb', 'check', 'bear', 'carry', 'comprise', 'arrest', 'incorporate', 'control', 'stop', 'hold', 'contain'}"
NiII atom,is coordinated,two O and four N,coordinate,"{'organize', 'ordinate', 'organise', 'align', 'coordinate'}"
dianionic ligand,is,octahedral geometry,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
N hydrogen bonding,is,intermolecular hydrogen bonding,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
sulfate anions,are interconnected,mdash H,interconnect,"{'interlink', 'complect', 'interconnect'}"
melaminium cations and sulfate anions,are interconnected,N mdash H,interconnect,"{'interlink', 'complect', 'interconnect'}"
Crystals of the  alpha,have been,nonionic detergents,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
Crystals of the  alpha,grown,nonionic detergents,grow,"{'produce', 'develop', 'raise', 'uprise', 'rise', 'maturate', 'grow', 'turn', 'arise', 'acquire', 'farm', 'mature', 'originate'}"
Crystals of the  alpha,using,nonionic detergents,use,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
cobalt phosphate,occurs,different polymorphs,occur,"{'hap', 'occur', 'pass', 'happen'}"
Sodium cobalt phosphate,occurs,crystal structures of both polymorphs,occur,"{'hap', 'occur', 'pass', 'happen'}"
c  sime  ,is,tetrahedral tilts,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
basic tridymite framework,is,strong distortions of the CoO4 tetrahedra,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
thiourea unit,is stabilized,mdash H,stabilize,"{'brace', 'stabilise', 'steady', 'stabilize'}"
trans ndash cis geometry,is stabilized,N mdash H,stabilize,"{'brace', 'stabilise', 'steady', 'stabilize'}"
trans ndash cis geometry of the thiourea unit,is stabilized,intramolecular N mdash H,stabilize,"{'brace', 'stabilise', 'steady', 'stabilize'}"
S hydrogen,form,centrosymmetric dimers,form,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
centrosymmetric dimers,extending,b axis,extend,"{'extend', 'exsert', 'lead', 'stretch', 'go', 'expand', 'pass', 'broaden', 'widen', 'offer', 'run', 'cover'}"
site symmetry,is,octahedral geometry,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
minus  fragments,are,trans positions,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
pyridine ring,connect,supramolecular structure,connect,"{'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
exact density,is introduced,sign relationship,introduce,"{'infix', 'introduce', 'premise', 'insert', 'acquaint', 'preface', 'innovate', 'precede', 'inclose', 'enclose', 'enter', 'present'}"
exact density,is applied,sign relationship,apply,"{'utilize', 'use', 'employ', 'implement', 'apply', 'enforce', 'utilise', 'practice'}"
exact density functions,is introduced,simplest sign relationship,introduce,"{'infix', 'introduce', 'premise', 'insert', 'acquaint', 'preface', 'innovate', 'precede', 'inclose', 'enclose', 'enter', 'present'}"
exact density functions,is applied,simplest sign relationship,apply,"{'utilize', 'use', 'employ', 'implement', 'apply', 'enforce', 'utilise', 'practice'}"
multivariate exact density functions,is introduced,study of the simplest sign relationship,introduce,"{'infix', 'introduce', 'premise', 'insert', 'acquaint', 'preface', 'innovate', 'precede', 'inclose', 'enclose', 'enter', 'present'}"
multivariate exact density functions,is applied,study of the simplest sign relationship,apply,"{'utilize', 'use', 'employ', 'implement', 'apply', 'enforce', 'utilise', 'practice'}"
exact expression,is obtained,normalized structure,obtain,"{'prevail', 'get', 'incur', 'receive', 'obtain'}"
exact expression,is,normalized structure,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
numerical examination,is,new expression,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
normalized structure factor,is,extensive numerical examination,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
normalized structure factor,given,extensive numerical examination,give,"{'pay', 'have', 'afford', 'yield', 'hold', 'throw', 'gift', 'present', 'give'}"
extensive numerical examination,is,conventional asymptotic formula,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
asymmetric unit,is,number of atoms,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
number of atoms,is,paucity of atoms,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
exact and asymptotic results,being,atomic composition of the asymmetric unit,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
qualitative behaviour,is,known features,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
new exact expression,is,Sigma 1 relationship and its statistical interpretations,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
qualitative behaviour of the new exact expression,is,known features of the  Sigma 1 relationship and its statistical interpretations,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
crystal lattices,differ,specific way,differ,"{'disagree', 'dissent', 'differ'}"
hemihedral twinning,have,sufficient information,have,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
hemihedral twinning,do,sufficient information,do,"{'make', 'fare', 'answer', 'exercise', 'do', 'perform', 'suffice', 'execute', 'behave', 'act', 'practise', 'cause', 'practice'}"
perfect hemihedral twinning,have,same volumes and the observed intensities,have,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
perfect hemihedral twinning,do,same volumes and the observed intensities,do,"{'make', 'fare', 'answer', 'exercise', 'do', 'perform', 'suffice', 'execute', 'behave', 'act', 'practise', 'cause', 'practice'}"
same volumes and the observed intensities,do,sufficient information to detwin the data,do,"{'make', 'fare', 'answer', 'exercise', 'do', 'perform', 'suffice', 'execute', 'behave', 'act', 'practise', 'cause', 'practice'}"
picric acid,has been,N atom,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
picric acid,transferred,N atom,transfer,"{'transfer', 'remove', 'transmit', 'channel', 'transport', 'transpose', 'reassign', 'channelize', 'shift', 'change', 'transplant'}"
starting picric acid,has been,imidazole N atom,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
starting picric acid,transferred,imidazole N atom,transfer,"{'transfer', 'remove', 'transmit', 'channel', 'transport', 'transpose', 'reassign', 'channelize', 'shift', 'change', 'transplant'}"
nitro groups,are twisted,benzene ring,twist,"{'flex', 'bend', 'wrench', 'convolute', 'twist', 'twine', 'wrick', 'pervert', 'deform', 'sprain', 'worm', 'writhe', 'wrestle', 'squirm', 'wriggle', 'distort', 'rick', 'sophisticate'}"
benzene ring,making,dihedral angles,make,"{'produce', 'make', 'do', 'create', 'cause', 'draw', 'stimulate', 'induce'}"
component ions,are linked,mdash H,link,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
room temperature,has been,multiple beam,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
room temperature,verified,multiple beam,verify,"{'assert', 'affirm', 'swear', 'aver', 'control', 'swan', 'verify', 'avow'}"
room temperature,using,multiple beam,use,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
silicon between room temperature and 700 K,has been,multiple beam diffraction,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
silicon between room temperature and 700 K,verified,multiple beam diffraction,verify,"{'assert', 'affirm', 'swear', 'aver', 'control', 'swan', 'verify', 'avow'}"
silicon between room temperature and 700 K,using,multiple beam diffraction,use,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
forbidden reflection 442 in silicon between room temperature and 700 K,has been,concept of virtual Bragg scattering,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
forbidden reflection 442 in silicon between room temperature and 700 K,verified,concept of virtual Bragg scattering,verify,"{'assert', 'affirm', 'swear', 'aver', 'control', 'swan', 'verify', 'avow'}"
forbidden reflection 442 in silicon between room temperature and 700 K,using,concept of virtual Bragg scattering,use,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
case of germanium,is,anharmonic effects,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
similar determination in the case of germanium,is,anharmonic effects at room temperature,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
anions and cations,are linked,mdash H,link,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
in complex with rapamycin,has,emsp14  Aring  resolution,have,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
in complex with rapamycin,been,emsp14  Aring  resolution,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
in complex with rapamycin,determined,emsp14  Aring  resolution,determine,"{'watch', 'ascertain', 'find', 'regulate', 'see', 'limit', 'mold', 'decide', 'determine', 'settle', 'fix', 'influence', 'learn', 'shape', 'set', 'specify'}"
Zn atom,is coordinated,tridentate manner,coordinate,"{'organize', 'ordinate', 'organise', 'align', 'coordinate'}"
Zn atom,is,tridentate manner,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
coordination geometry,is,mer configuration,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
thiolate S atom,is,two ligands in the mer configuration,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
multimodular scaffoldin,is,central component,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
multimodular scaffoldin subunit,is,central component of the cellulosome,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
alignment and calibration,is,data collection,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
cyano group,lies,pyrazole ring,lie,"{'belong', 'consist', 'lie', 'rest', 'dwell'}"
pyrazole ring,has,C mdash,have,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
H atom,is disordered,N atoms,disorder,"{'cark', 'perturb', 'trouble', 'disquiet', 'distract', 'unhinge', 'disorder', 'disarray'}"
NH H atom,is disordered,two ring N atoms,disorder,"{'cark', 'perturb', 'trouble', 'disquiet', 'distract', 'unhinge', 'disorder', 'disarray'}"
title compound,has,planar molecules,have,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
hydrogen bonds,are found,crystal structure,found,"{'constitute', 'institute', 'base', 'establish', 'found', 'plant', 'launch'}"
metal fragments,are linked,structure of the complex,link,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
metal fragments,is,structure of the complex,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
ZnO2Cl2 tetrahedra and SeO3E tetrahedra,being,lone pair,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
Cl atoms,protrude,adjacent layers,protrude,"{'pop', 'jut', 'protrude', 'pouch', 'project', 'bulge'}"
synthetic polymorphs,lies,packing of the layers,lie,"{'belong', 'consist', 'lie', 'rest', 'dwell'}"
neutral networks,is,Hg atom,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
neutral networks,based,Hg atom,base,"{'send', 'base', 'establish', 'post', 'found', 'station'}"
Photoluminescent investigations,reveal,strong emission,reveal,"{'disclose', 'show', 'reveal', 'expose', 'display', 'divulge', 'uncover', 'impart', 'discover', 'unveil'}"
Photoluminescent investigations,displays,strong emission,display,"{'exhibit', 'show', 'reveal', 'display', 'expose'}"
title molecule,confirms,ndash boat,confirm,"{'substantiate', 'affirm', 'corroborate', 'sustain', 'support', 'confirm', 'reassert'}"
single crystals,were measured,space group,measure,"{'appraise', 'valuate', 'evaluate', 'measure', 'assess', 'quantify', 'value'}"
single crystals with temperature,were measured,compounds with Ni and Rh,measure,"{'appraise', 'valuate', 'evaluate', 'measure', 'assess', 'quantify', 'value'}"
piperidone ring,adopts,chair conformation,adopt,"{'take', 'assume', 'adopt', 'espouse', 'borrow', 'follow', 'dramatise', 'acquire', 'dramatize', 'embrace'}"
methylphenyl rings,are oriented,piperidone plane,orient,"{'orient', 'point', 'orientate'}"
crystal packing,is characterized,mdash H,characterize,"{'qualify', 'characterize', 'characterise'}"
stable conformation,is,solid state,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
alignment of the material,is induced,structural characterization,induce,"{'make', 'hasten', 'rush', 'cause', 'induct', 'stimulate', 'induce'}"
alignment of the material,allows,structural characterization,allow,"{'provide', 'let', 'countenance', 'earmark', 'appropriate', 'leave', 'admit', 'permit', 'grant', 'allow', 'reserve'}"
elongational flow at the centre of this device,is induced,improved structural characterization,induce,"{'make', 'hasten', 'rush', 'cause', 'induct', 'stimulate', 'induce'}"
elongational flow at the centre of this device,allows,improved structural characterization,allow,"{'provide', 'let', 'countenance', 'earmark', 'appropriate', 'leave', 'admit', 'permit', 'grant', 'allow', 'reserve'}"
title compound,is,the methanol disolvate,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
asymmetric unit,contains,V atoms,contain,"{'moderate', 'curb', 'check', 'bear', 'carry', 'comprise', 'arrest', 'incorporate', 'control', 'stop', 'hold', 'contain'}"
thiocarbonohydrazide and methanol,are linked,mdash H,link,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
title complex,are,asymmetric unit,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
acetate ligand,are linked,fluconazole ligands,link,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
methanol solvent,is linked,mdash H,link,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
title complex,lies,inversion center,lie,"{'belong', 'consist', 'lie', 'rest', 'dwell'}"
inversion center,is coordinated,N atoms,coordinate,"{'organize', 'ordinate', 'organise', 'align', 'coordinate'}"
O atoms,is,octahedral geometry,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
CoII atom in the title complex,lies,distorted octahedral geometry,lie,"{'belong', 'consist', 'lie', 'rest', 'dwell'}"
CoII atom in the title complex,is coordinated,distorted octahedral geometry,coordinate,"{'organize', 'ordinate', 'organise', 'align', 'coordinate'}"
axial direction,is,N atom,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
aqua O atom,is,carboxylato O atom,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
title compound,comprises,water of crystallization,comprise,"{'represent', 'constitute', 'be', 'consist', 'comprise', 'incorporate', 'contain'}"
S contact,is,DABT ligands,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
Zn atom,is,distorted octahedron,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
The coordination geometry of the Zn atom,is,two O atoms from the chelidamate ligand,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
library entries,are tailored,rigid body,tailor,"{'tailor-make', 'tailor', 'cut', 'shoehorn', 'sew'}"
library entries,constrained,rigid body,constrain,"{'constrain', 'restrain', 'tighten', 'cumber', 'stiffen', 'encumber'}"
library entries,known,rigid body,know,"{'cognize', 'eff', 'acknowledge', 'recognise', 'bang', 'bed', 'hump', 'love', 'experience', 'recognize', 'live', 'fuck', 'jazz', 'screw', 'bonk', 'know'}"
ethyl acetate,is,inversion center,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
natural aluminosilicate,used,support for metals,use,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
amorphous natural aluminosilicate,used,support for metals in the preparation of catalysts,use,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
SANS spectrum,indicates,broad size,indicate,"{'signal', 'bespeak', 'suggest', 'show', 'indicate', 'argue', 'betoken', 'point'}"
structure model,is,vitreous silica,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
vitreous silica,is,O atoms,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
vitreous silica,consisting,O atoms,consist,"{'belong', 'consist', 'comprise', 'lie', 'dwell'}"
lactone ring,was,nucleophilic reaction,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
lactone ring,formed,nucleophilic reaction,form,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
methyl and amino,are located,cis positions,locate,"{'site', 'situate', 'place', 'settle', 'locate'}"
methyl and amino groups,are located,puckering of the lactone ring,locate,"{'site', 'situate', 'place', 'settle', 'locate'}"
hydrogen bonds,extend,molecular packing,extend,"{'extend', 'exsert', 'lead', 'stretch', 'go', 'expand', 'pass', 'broaden', 'widen', 'offer', 'run', 'cover'}"
hydrogen bonds,stabilize,molecular packing,stabilize,"{'brace', 'stabilise', 'steady', 'stabilize'}"
title compound,is,aminonaphthoquinone derivative,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
naphthoquinone moieties,are connected,mdash H,connect,"{'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
centrosymmetric naphthoquinone moieties,are connected,N mdash H,connect,"{'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
c axis,occurring,naphthoquinone skeleton,occur,"{'hap', 'occur', 'pass', 'happen'}"
translation along the c axis,are stacked,shortest intermolecular C,stack,"{'pile', 'heap', 'stack'}"
O interactions,are,C mdash,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
title compound,has,inversion center,have,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
cyclohexyl groups,are,H atoms,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
molecule of the title compound,has,crystallographically imposed inversion center,have,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
crystallographically imposed inversion center,are,methine H atoms,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
protein molecule,is proposed,accurate estimate,propose,"{'suggest', 'purpose', 'nominate', 'propose', 'purport', 'project', 'aim', 'advise'}"
cavities within the protein molecule,is proposed,calculation of the scattering intensities,propose,"{'suggest', 'purpose', 'nominate', 'propose', 'purport', 'project', 'aim', 'advise'}"
cavities within the protein molecule accessible to the solvent,is proposed,of the solvent influence and for calculation of the scattering intensities,propose,"{'suggest', 'purpose', 'nominate', 'propose', 'purport', 'project', 'aim', 'advise'}"
quantitative divergences,be,small increase,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
groups of helices,do,scattering indicatrices,do,"{'make', 'fare', 'answer', 'exercise', 'do', 'perform', 'suffice', 'execute', 'behave', 'act', 'practise', 'cause', 'practice'}"
groups of helices,lead,scattering indicatrices,lead,"{'head', 'extend', 'top', 'lead', 'conduce', 'go', 'pass', 'run', 'leave', 'guide', 'contribute', 'result', 'conduct', 'direct', 'take'}"
Bragg geometry,was,acoustic waves,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
Bragg geometry,used,acoustic waves,use,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
Bragg geometry,investigate,acoustic waves,investigate,"{'investigate', 'inquire', 'enquire'}"
thermal contribution,causes,angular displacement,cause,"{'make', 'do', 'cause', 'stimulate', 'induce'}"
Bragg profile,was,time resolution,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
Bragg profile,mapped,time resolution,map,{'map'}
ultrasonic oscillation,was,stroboscopic system,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
ultrasonic oscillation,measured,stroboscopic system,measure,"{'appraise', 'valuate', 'evaluate', 'measure', 'assess', 'quantify', 'value'}"
ultrasonic oscillation,using,stroboscopic system,use,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
Si wafer,was,ultrasonic power,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
Si wafer,determined,ultrasonic power,determine,"{'watch', 'ascertain', 'find', 'regulate', 'see', 'limit', 'mold', 'decide', 'determine', 'settle', 'fix', 'influence', 'learn', 'shape', 'set', 'specify'}"
centre of the Si wafer,was,given ultrasonic power,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
centre of the Si wafer,determined,given ultrasonic power,determine,"{'watch', 'ascertain', 'find', 'regulate', 'see', 'limit', 'mold', 'decide', 'determine', 'settle', 'fix', 'influence', 'learn', 'shape', 'set', 'specify'}"
Simple modelling,using,finite differences,use,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
Simple modelling using finite differences,was,acoustic and thermal contributions,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
Simple modelling using finite differences,determining,acoustic and thermal contributions,determine,"{'watch', 'ascertain', 'find', 'regulate', 'see', 'limit', 'mold', 'decide', 'determine', 'settle', 'fix', 'influence', 'learn', 'shape', 'set', 'specify'}"
Portland cements,have been,tricalcium silicate,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
Portland cements,synthesized,tricalcium silicate,synthesize,"{'synthesise', 'synthesize'}"
synthesized samples,check,amorphous phase,check,"{'match', 'ensure', 'contain', 'retard', 'tally', 'gibe', 'correspond', 'insure', 'ascertain', 'jibe', 'check', 'fit', 'agree', 'assure', 'moderate', 'curb', 'delay', 'control', 'hold', 'tick'}"
relative errors,are,main phases,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
routine application,is,cement industry,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
recent research,indicates,Dsb proteins,indicate,"{'signal', 'bespeak', 'suggest', 'show', 'indicate', 'argue', 'betoken', 'point'}"
pathogenic bacteria,have,extended arsenal,have,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
process of oxidative folding,containing,wide repertoire of Dsb proteins,contain,"{'moderate', 'curb', 'check', 'bear', 'carry', 'comprise', 'arrest', 'incorporate', 'control', 'stop', 'hold', 'contain'}"
SeSrgA crystals,diffracted,resolution limits,diffract,{'diffract'}
resolution limits,belonged,space groups,belong,"{'dwell', 'belong', 'lie', 'consist'}"
polymer solutions,are calculated,distribution function,calculate,"{'depend', 'count', 'compute', 'bet', 'figure', 'calculate', 'reckon', 'account', 'cipher', 'forecast', 'estimate', 'cypher', 'aim'}"
polymer solutions,applying,distribution function,apply,"{'utilize', 'use', 'employ', 'implement', 'apply', 'enforce', 'utilise', 'practice'}"
concentrated polymer solutions,are calculated,radial distribution function,calculate,"{'depend', 'count', 'compute', 'bet', 'figure', 'calculate', 'reckon', 'account', 'cipher', 'forecast', 'estimate', 'cypher', 'aim'}"
concentrated polymer solutions,applying,radial distribution function,apply,"{'utilize', 'use', 'employ', 'implement', 'apply', 'enforce', 'utilise', 'practice'}"
issue of the Journal of Synchrotron Radiation,is,special issue including papers from the PhotonDiag2015 workshop,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
linear polyethylene,was,SAXS camera,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
linear polyethylene,followed,SAXS camera,follow,"{'adopt', 'follow', 'postdate', 'espouse', 'comply'}"
scattering patterns,were,emsp14 s intervals,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
scattering patterns,were recorded,emsp14 s intervals,record,"{'commemorate', 'record', 'register', 'read', 'memorialise', 'immortalize', 'tape', 'memorialize', 'immortalise', 'enter'}"
temperatures between 115 and 126 deg C,were,30 emsp14 s in 50 emsp14 s intervals,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
temperatures between 115 and 126 deg C,were recorded,30 emsp14 s in 50 emsp14 s intervals,record,"{'commemorate', 'record', 'register', 'read', 'memorialise', 'immortalize', 'tape', 'memorialize', 'immortalise', 'enter'}"
data acquisition,was,time periods,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
data acquisition,obtain,time periods,obtain,"{'prevail', 'get', 'incur', 'receive', 'obtain'}"
data acquisition rate,was,change of the scattering patterns,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
data acquisition rate,obtain,change of the scattering patterns,obtain,"{'prevail', 'get', 'incur', 'receive', 'obtain'}"
data acquisition rate,were,change of the scattering patterns,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
